Timestamp,Location
2023-06-28 09:00:00,"(40.7128, -74.0060)"
2023-06-28 09:00:05,"(43.7129, -74.0061)"
2023-06-28 09:00:10,"(44.7130, -74.0062)"
2023-06-28 09:00:15,"(45.7131, -74.0063)"
2023-06-28 09:00:20,"(46.7132, -74.0064)"
2023-06-28 09:00:21,"(46.7132, -74.0064)"
2023-06-28 09:00:22,"(46.7132, -74.0064)"
2023-06-28 09:00:23,"(46.7132, -74.0064)"
2023-06-28 09:00:24,"(46.7132, -74.0064)"
2023-06-28 09:00:25,"(47.7133, -74.0065)"
2023-06-28 09:00:30,"(47.7134, -74.0066)"
2023-06-28 09:00:35,"(48.7135, -74.0067)"
2023-06-28 09:00:40,"(49.7136, -74.0068)"
2023-06-28 09:00:45,"(49.7137, -74.0069)"
2023-06-28 09:00:46,"(49.7137, -74.0069)"
2023-06-28 09:00:47,"(49.7137, -74.0069)"
2023-06-28 09:00:48,"(49.7137, -74.0069)"
2023-06-28 09:00:49,"(49.7137, -74.0069)"
2023-06-28 09:00:50,"(49.7138, -75.0070)"
2023-06-28 09:00:55,"(49.7139, -76.0071)"
2023-06-28 09:01:00,"(50.7140, -76.0072)"
2023-06-28 09:01:05,"(50.7140, -76.0072)"
2023-06-28 09:01:10,"(50.7140, -76.0072)"
2023-06-28 09:01:11,"(50.7140, -76.0072)"
2023-06-28 09:01:12,"(50.7140, -76.0072)"
2023-06-28 09:01:13,"(50.7140, -76.0072)"
2023-06-28 09:01:14,"(50.7140, -76.0072)"
2023-06-28 09:01:15,"(50.7140, -76.0072)"
2023-06-28 09:01:20,"(50.7140, -76.0072)"
2023-06-28 09:01:25,"(50.7140, -76.0072)"
2023-06-28 09:01:30,"(50.7140, -76.0072)"
2023-06-28 09:01:35,"(50.7140, -76.0072)"
